"Name","Firm","Price","Strength","Count","unit_price","Year","Area","Drug_ID","Firm_ID"
"利伐沙班片","福建广生堂药业股份有限公司（南京柯菲平盛辉制药有限公司受托生产）",19.5,"10mg",30,0.65,2021,"天津市、宁夏回族自治区、福建省",12,631
"利伐沙班片","吉林省博大制药股份有限公司",1.97,"10mg",5,0.394,2021,"山西省、江苏省、湖南省",12,209
"利伐沙班片","苏州第三制药厂有限责任公司",317.83,"15mg",28,11.3510714285714,2021,"山西省、浙江省、湖北省",12,645
"利伐沙班片","深圳信立泰药业股份有限公司",11.16,"10mg",28,0.398571428571429,2021,"吉林省、山东省、新疆生产建设兵团、新疆维吾尔自治区",12,566
"利伐沙班片","浙江金华康恩贝生物制药有限公司",7.45,"10mg",12,0.620833333333333,2021,"湖北省、西藏自治区、贵州省",12,524
"利伐沙班片","江苏中邦制药有限公司",13.09,"10mg",30,0.436333333333333,2021,"广东省、广西壮族自治区、辽宁省",12,429
"利伐沙班片","苏州第三制药厂有限责任公司",13.89,"10mg",30,0.463,2021,"北京市、江西省、黑龙江省",12,645
"利伐沙班片","山东新时代药业有限公司",162.5,"15mg",14,11.6071428571429,2021,"天津市、新疆生产建设兵团、新疆维吾尔自治区、福建省",12,304
"利伐沙班片","东莞市阳之康医药有限责任公司（广东东阳光药业有限公司受托生产）",14.28,"15mg",28,0.51,2021,"上海市、广西壮族自治区、江苏省、江西省、海南省",12,112
"利伐沙班片","东莞市阳之康医药有限责任公司（广东东阳光药业有限公司受托生产）",4.8,"10mg",30,0.16,2021,"上海市、云南省、安徽省、浙江省",12,112
"利伐沙班片","浙江华海药业股份有限公司",124.5,"15mg",30,4.15,2021,"云南省、内蒙古自治区、四川省、湖南省",12,499
"利伐沙班片","东莞市阳之康医药有限责任公司（广东东阳光药业有限公司受托生产）",24.6,"20mg",30,0.82,2021,"宁夏回族自治区、广东省、河南省、西藏自治区、重庆市",12,112
"利伐沙班片","上海汇伦江苏药业有限公司",17.22,"10mg",30,0.574,2021,"内蒙古自治区、四川省、青海省",12,96
"利伐沙班片","上海汇伦江苏药业有限公司",25.5,"15mg",30,0.85,2021,"安徽省、广东省、河北省、贵州省",12,96
"利伐沙班片","齐鲁制药有限公司",7.82,"15mg",7,1.11714285714286,2021,"宁夏回族自治区、山东省、辽宁省、青海省",12,712
"利伐沙班片","南京海辰药业股份有限公司",72.31,"15mg",7,10.33,2021,"北京市、吉林省、西藏自治区、重庆市",12,190
"利伐沙班片","江苏柯菲平医药股份有限公司（南京柯菲平盛辉制药有限公司受托生产）",55.5,"15mg",30,1.85,2021,"河南省、甘肃省、陕西省、黑龙江省",12,444
"利伐沙班片","齐鲁制药有限公司",22.88,"20mg",14,1.63428571428571,2021,"北京市、广西壮族自治区、浙江省、湖南省",12,712
"利伐沙班片","南京海辰药业股份有限公司",95.56,"20mg",7,13.6514285714286,2021,"四川省、安徽省、新疆生产建设兵团、新疆维吾尔自治区、贵州省",12,190
"利伐沙班片","吉林四环制药有限公司",7.4,"10mg",14,0.528571428571429,2021,"河南省、甘肃省、重庆市",12,208
"利奈唑胺葡萄糖注射液","江苏豪森药业集团有限公司",383.99,"100ml:利奈唑胺200mg与葡萄糖4.57g",30,12.7996666666667,2021,"上海市、内蒙古自治区、吉林省、天津市、山东省、江苏省、江西省、河南省、海南省、辽宁省、陕西省",15,457
"利奈唑胺葡萄糖注射液","江苏正大丰海制药有限公司",1414.8,"100ml:利奈唑胺200mg与葡萄糖4.57g",60,23.58,2021,"云南省、山西省、新疆生产建设兵团、新疆维吾尔自治区、河北省、浙江省、湖南省、福建省、西藏自治区、青海省、黑龙江省",15,445
"利奈唑胺葡萄糖注射液","湖南科伦制药有限公司",1410,"300ml:利奈唑胺600mg与葡萄糖13.7g",30,47,2021,"北京市、四川省、宁夏回族自治区、安徽省、广东省、广西壮族自治区、湖北省、甘肃省、贵州省、重庆市",15,599
"硫辛酸注射液","四川美大康华康药业有限公司",121.25,"12ml:300mg",5,24.25,2021,"吉林省、安徽省、广东省、湖北省、辽宁省、青海省、黑龙江省",207,242
"硫辛酸注射液","成都倍特药业股份有限公司",119.6,"12ml:300mg",5,23.92,2021,"云南省、北京市、四川省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、河南省、西藏自治区、重庆市",207,367
"硫辛酸注射液","亚宝药业集团股份有限公司",34.25,"12ml:300mg",5,6.85,2021,"上海市、宁夏回族自治区、山东省、山西省、江西省、河北省、浙江省、湖南省、甘肃省",207,123
"硫辛酸注射液","花园药业股份有限公司",123.05,"12ml:300mg",5,24.61,2021,"内蒙古自治区、天津市、江苏省、海南省、福建省、贵州省、陕西省",207,636
"米索前列醇片","武汉九珑人福药业有限责任公司",4.51,"0.2mg",3,1.50333333333333,2021,"云南省、北京市、四川省、新疆生产建设兵团、新疆维吾尔自治区、河北省、湖北省、湖南省、福建省、西藏自治区、辽宁省",219,416
"米索前列醇片","浙江仙琚制药股份有限公司",4.05,"0.2mg",3,1.35,2021,"上海市、天津市、山东省、广东省、江西省、海南省、甘肃省、贵州省、重庆市、青海省、黑龙江省",219,494
"米索前列醇片","华润紫竹药业有限公司",4.5,"0.2mg",3,1.5,2021,"内蒙古自治区、吉林省、宁夏回族自治区、安徽省、山西省、广西壮族自治区、江苏省、河南省、浙江省、陕西省",219,177
"吸入用异丙托溴铵溶液","仁合益康集团有限公司（河北仁合益康药业有限公司受托生产）",9.68,"2ml:0.5mg",10,0.968,2021,"四川省、山西省、江苏省、江西省、河北省、河南省、浙江省、福建省、陕西省",43,126
"吸入用异丙托溴铵溶液","武汉先路医药科技股份有限公司（四川禾亿制药有限公司受托生产）",13.2,"2ml:0.5mg",8,1.65,2021,"上海市、北京市、天津市、甘肃省、西藏自治区、贵州省、辽宁省",43,419
"吸入用异丙托溴铵溶液","四川普锐特药业有限公司",14.9,"2ml:0.5mg",10,1.49,2021,"云南省、山东省、新疆生产建设兵团、新疆维吾尔自治区、海南省、湖南省、重庆市、黑龙江省",43,228
"吸入用异丙托溴铵溶液","健康元药业集团股份有限公司（深圳太太药业有限公司，健康元海滨药业有限公司受",10.9,"2ml:0.5mg",10,1.09,2021,"内蒙古自治区、吉林省、宁夏回族自治区、安徽省、广东省、广西壮族自治区、湖北省、青海省",43,135
"盐酸贝那普利片","深圳信立泰药业股份有限公司",13.35,"10mg",14,0.953571428571429,2021,"云南省、吉林省、天津市、宁夏回族自治区、安徽省、山西省、新疆生产建设兵团、新疆维吾尔自治区、河南省、浙江省、湖南省、甘肃省、福建省、西藏自治区、重庆市、青海省",205,566
"盐酸贝那普利片","上海新亚药业闵行有限公司",18.97,"10mg",28,0.6775,2021,"上海市、内蒙古自治区、北京市、四川省、山东省、广东省、广西壮族自治区、江苏省、江西省、河北省、海南省、湖北省、贵州省、辽宁省、陕西省、黑龙江省",205,91
"盐酸法舒地尔注射液","成都倍特药业股份有限公司",19.83,"2ml:30mg",5,3.966,2021,"宁夏回族自治区、安徽省、山东省、山西省、河北省、湖北省、甘肃省、福建省",192,367
"盐酸法舒地尔注射液","成都苑东生物制药股份有限公司",10.38,"2ml:30mg",6,1.73,2021,"上海市、四川省、广东省、新疆生产建设兵团、新疆维吾尔自治区、江苏省、西藏自治区、辽宁省、陕西省、黑龙江省",192,382
"盐酸法舒地尔注射液","扬子江药业集团广州海瑞药业有限公司",75,"2ml:30mg",10,7.5,2021,"内蒙古自治区、天津市、广西壮族自治区、海南省、湖南省、重庆市、青海省",192,389
