"","Name","Firm","Price","Volume","Count","unit_price","Year"
"354","硫辛酸注射液","亚宝药业集团股份有限公司",31.82,"6ml",1,31.82,2015
"355","硫辛酸注射液","重庆药友制药有限责任公司",31.8,"6ml",1,31.8,2015
"356","盐酸罗哌卡因注射液","AstraZeneca AB",48.19,"10ml",1,48.19,2015
"357","盐酸罗哌卡因注射液","AstraZeneca AB",39.81,"10ml",1,39.81,2015
"358","盐酸罗哌卡因注射液","广东嘉博制药有限公司",30.8,"10ml",1,30.8,2015
"359","盐酸罗哌卡因注射液","广东嘉博制药有限公司",24.7,"10ml",1,24.7,2015
"360","盐酸罗哌卡因注射液","河北一品制药有限公司",26.62,"10ml",1,26.62,2015
"361","盐酸罗哌卡因注射液","江苏恒瑞医药股份有限公司",28.98,"10ml",1,28.98,2015
"362","盐酸罗哌卡因注射液","齐鲁制药有限公司",27.57,"10ml",1,27.57,2015
"363","盐酸罗哌卡因注射液","宜昌人福药业有限责任公司",25.04,"10ml",1,25.04,2015
"364","洛索洛芬钠片","迪沙药业集团有限公司",30.98,"60mg",36,0.860555555555556,2015
"365","洛索洛芬钠片","迪沙药业集团有限公司",20.96,"60mg",24,0.873333333333333,2015
"366","洛索洛芬钠片","辽宁天医生物制药股份有限公司",9.88,"60mg",10,0.988,2015
"367","洛索洛芬钠片","辽宁天医生物制药股份有限公司",19.26,"60mg",20,0.963,2015
"368","洛索洛芬钠片","辽宁天医生物制药股份有限公司",28.47,"60mg",30,0.949,2015
"369","洛索洛芬钠片","宁波立华制药有限公司",20.96,"60mg",24,0.873333333333333,2015
"370","洛索洛芬钠片","宁波立华制药有限公司",42.51,"60mg",50,0.8502,2015
"371","洛索洛芬钠片","上海旭东海普药业有限公司",19.48,"60mg",20,0.974,2015
"372","洛索洛芬钠片","天津新丰制药有限公司",10.21,"60mg",10,1.021,2015
"373","洛索洛芬钠片","天津新丰制药有限公司",19.9,"60mg",20,0.995,2015
"374","洛索洛芬钠片","兴安药业有限公司",17.8,"60mg",20,0.89,2015
"375","铝碳酸镁咀嚼片","北京京丰制药集团有限公司",8.97,"0.5g",20,0.4485,2015
"376","铝碳酸镁咀嚼片","弘美制药（中国）有限公司",7.94,"0.5g",20,0.397,2015
"377","铝碳酸镁咀嚼片","南通久和药业有限公司",12.17,"0.5g",30,0.405666666666667,2015
