Name,Firm,Price,Volume,Count
硫酸氨基葡萄糖钾胶囊,山西康宝生物制品股份有限公司,42.65,0.25g,20
硫酸氨基葡萄糖钾片,山西康宝生物制品股份有限公司,40.32,0.25g,20
硫酸氨基葡萄糖胶囊,ROTTAPHARM S.P.A(Rottapharm Ltd),26.75,0.25g,10
硫酸氨基葡萄糖胶囊,ROTTAPHARM S.P.A(Rottapharm Ltd),52.17,0.25g,20
硫酸氨基葡萄糖胶囊,信东生技股份有限公司（信东生技股份有限公司）,44.08,0.25g,24
硫酸氨基葡萄糖胶囊,信东生技股份有限公司（信东生技股份有限公司）,75.56,0.25g,42
硫酸氨基葡萄糖胶囊,信东生技股份有限公司（信东生技股份有限公司）,65.13,0.25g,36
盐酸氨基葡萄糖胶囊,澳美制药厂,57.57,0.75g,30
盐酸氨基葡萄糖胶囊,山西中远威药业有限公司,36,0.24g,24
盐酸氨基葡萄糖胶囊,浙江诚意药业股份有限公司,53,0.24g,42
盐酸氨基葡萄糖胶囊,浙江诚意药业股份有限公司,25.93,0.24g,20
盐酸氨基葡萄糖片,四川新斯顿制药有限责任公司,32.3,0.24g,28
盐酸氨基葡萄糖片,四川新斯顿制药有限责任公司,47.74,0.24g,42
肠内营养粉（AA）,Nestle HealthCare Nutrition（Nestle HealthCare Nutrition）,72.35,80.4g,1
氨甲苯酸氯化钠注射液,江苏晨牌药业集团股份有限公司,15.75,0.5g,1
氨甲苯酸注射液,常州兰陵制药有限公司,0.61,0.1g,1
氨甲苯酸注射液,湖南洞庭药业股份有限公司,0.65,0.1g,1
氨甲苯酸注射液,湖南五洲通药业有限责任公司,0.53,0.1g,1
氨甲苯酸注射液,上海信谊金朱药业有限公司,0.66,0.1g,1
氨甲苯酸注射液,扬州制药有限公司,0.52,0.1g,1
氨甲苯酸注射液,扬州中宝制药有限公司,0.72,0.1g,1
注射用氨甲苯酸,辽宁天医生物制药股份有限公司,2.09,50mg,1
注射用氨甲苯酸,山东北大高科华泰制药有限公司,2.87,100mg,1
氨甲环酸氯化钠注射液,长春天诚药业有限公司,31.99,0.5g,1
氨甲环酸氯化钠注射液,长春天诚药业有限公司,54.41,1g,1
氨甲环酸片,湖南洞庭药业股份有限公司,32.16,0.25g,36
氨甲环酸片,湖南洞庭药业股份有限公司,21.78,0.25g,24
氨甲环酸注射液,福州海王福药制药有限公司,9.68,0.5g,1
氨甲环酸注射液,福州海王福药制药有限公司,19.48,1g,1
氨甲环酸注射液,广州白云山天心制药股份有限公司,15.13,1g,1
氨甲环酸注射液,广州白云山天心制药股份有限公司,9.91,0.5g,1
氨甲环酸注射液,广州白云山天心制药股份有限公司,5.08,0.2g,1
氨甲环酸注射液,河南辅仁怀庆堂制药有限公司,1.87,0.1g,1
氨甲环酸注射液,湖南洞庭药业股份有限公司,55.44,1g,1
氨甲环酸注射液,湖南洞庭药业股份有限公司,32.64,0.5g,1
氨甲环酸注射液,湖南洞庭药业股份有限公司,16.15,0.2g,1
氨甲环酸注射液,瑞阳制药有限公司,6.96,0.25g,1
