"Name","Firm","Price","Strength","Count","unit_price","Year","Area","Drug_ID","Firm_ID","is_treated","first_treat_year"
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2021,"北京",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","扬子江药业集团有限公司","50","20ml:200mg","4",12.5,2021,"江苏",2,390,1,2021
"丙泊酚中/长链脂肪乳注射液","江苏盈科生物制药有限公司","67","20ml:200mg","5",13.4,2021,"安徽",2,450,1,2021
"丙泊酚中/长链脂肪乳注射液","四川科伦药业股份有限公司","74.29","20ml:200mg","5",14.858,2021,"广东",2,236,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2021,"上海",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2021,"浙江",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","四川科伦药业股份有限公司","74.29","20ml:200mg","5",14.86,2021,"广东",2,236,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2021,"北京",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","扬子江药业集团有限公司","50","20ml:200mg","4",12.5,2021,"江苏",2,390,1,2021
"丙泊酚中/长链脂肪乳注射液","江苏盈科生物制药有限公司","67","20ml:200mg","5",13.4,2021,"安徽",2,450,1,2021
"丙泊酚中/长链脂肪乳注射液","四川科伦药业股份有限公司","74.29","20ml:200mg","5",14.858,2021,"广东",2,236,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2021,"上海",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2021,"浙江",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","33.8","50ml:1g","1",33.8,2022,"广东",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","19.88","50ml:500mg","1",19.88,2022,"广东",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","江苏盈科生物制药有限公司","49.25","20ml:200mg","5",9.85,2022,"广东",2,450,1,2021
"丙泊酚中/长链脂肪乳注射液","辽宁海思科制药有限公司","30.5","20ml:200mg","5",6.1,2022,"广东",2,667,1,2021
"丙泊酚中/长链脂肪乳注射液","四川国瑞药业有限责任公司","97.2","50ml:500mg","5",19.44,2022,"广东",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","四川科伦药业股份有限公司","37.35","20ml:200mg","5",7.47,2022,"广东",2,236,1,2021
"丙泊酚中/长链脂肪乳注射液","扬子江药业集团有限公司","39.44","20ml:200mg","4",9.86,2022,"广东",2,390,1,2021
"丙泊酚中/长链脂肪乳注射液","重庆药友制药有限责任公司","34.1","20ml:200mg","5",6.82,2022,"广东",2,686,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2022,"安徽",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2022,"浙江",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2022,"上海",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","9.85","20ml:200mg","1",9.85,2022,"北京",2,338,1,2021
"丙泊酚中/长链脂肪乳注射液","辽宁海思科制药有限公司","6.1","20ml:200mg","1",6.1,2022,"北京",2,667,1,2021
"丙泊酚中/长链脂肪乳注射液","四川国瑞药业有限责任公司","9.84","20ml:200mg","1",9.84,2022,"北京",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","扬子江药业集团有限公司","9.86","20ml:200mg","1",9.86,2022,"北京",2,390,1,2021
"丙泊酚中/长链脂肪乳注射液","重庆药友制药有限责任公司","34.3","20ml:200mg","5",6.86,2022,"北京",2,686,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","9.86","20ml:200mg","1",9.86,2022,"北京",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","9.86","20ml:200mg","1",9.86,2022,"北京",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","9.85","20ml:200mg","1",9.85,2022,"北京",2,338,1,2021
"丙泊酚中/长链脂肪乳注射液","辽宁海思科制药有限公司","6.1","20ml:200mg","1",6.1,2022,"北京",2,667,1,2021
"丙泊酚中/长链脂肪乳注射液","四川国瑞药业有限责任公司","9.84","20ml:200mg","1",9.84,2022,"北京",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","扬子江药业集团有限公司","9.86","20ml:200mg","1",9.86,2022,"北京",2,390,1,2021
"丙泊酚中/长链脂肪乳注射液","重庆药友制药有限责任公司","34.3","20ml:200mg","5",6.86,2022,"北京",2,686,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2023,"浙江",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","扬子江药业集团有限公司","9.86","20ml:200mg","1",9.86,2023,"浙江",2,390,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","9.86","20ml:200mg","1",9.86,2023,"安徽",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","江苏盈科生物制药有限公司","9.85","20ml:200mg","1",9.85,2023,"安徽",2,450,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2023,"上海",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","扬子江药业集团有限公司","39.44","20ml:200mg","4",9.86,2023,"上海",2,390,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","9.86","20ml:200mg","1",9.86,2023,"安徽",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","江苏盈科生物制药有限公司","9.85","20ml:200mg","1",9.85,2023,"安徽",2,450,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","49.3","20ml:200mg","5",9.86,2023,"上海",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","扬子江药业集团有限公司","39.44","20ml:200mg","4",9.86,2023,"上海",2,390,1,2021
"丙泊酚中/长链脂肪乳注射液","江苏盈科生物制药有限公司","49.25","20ml:200mg","5",9.85,2023,"安徽",2,450,1,2021
"丙泊酚中/长链脂肪乳注射液","扬子江药业集团有限公司","39.44","20ml:200mg","4",9.86,2023,"浙江",2,390,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","33.8028","50ml:1g","1",33.8028,2023,"广东",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","19.884","50ml:500mg","1",19.884,2023,"广东",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","江苏盈科生物制药有限公司","49.25","20ml:200mg","5",9.85,2023,"广东",2,450,1,2021
"丙泊酚中/长链脂肪乳注射液","辽宁海思科制药有限公司","30.5","20ml:200mg","5",6.1,2023,"广东",2,667,1,2021
"丙泊酚中/长链脂肪乳注射液","四川国瑞药业有限责任公司","97.2","50ml:500mg","5",19.44,2023,"广东",2,NA,1,2021
"丙泊酚中/长链脂肪乳注射液","四川科伦药业股份有限公司","37.35","20ml:200mg","5",7.47,2023,"广东",2,236,1,2021
"丙泊酚中/长链脂肪乳注射液","扬子江药业集团有限公司","39.44","20ml:200mg","4",9.86,2023,"广东",2,390,1,2021
"丙泊酚中/长链脂肪乳注射液","重庆药友制药有限责任公司","34.1","20ml:200mg","5",6.82,2023,"广东",2,686,1,2021
