"","StockCode","EndDate.x","EndDate.y","ShortName","RDPerson","RDSpendSum","RDSpendSumRatio","RDInvest"
"3170","000756","2023-12-31","1997-12-31","新华制药",849,405874930.25,5.01,NA
"3171","000756","2020-12-31","1997-12-31","新华制药",NA,298347278,NA,NA
"3173","000756","2017-12-31","1997-12-31","新华制药",NA,158027013.21,NA,NA
"3175","000756","2016-12-31","1997-12-31","新华制药",NA,106882343.46,NA,NA
"3241","000766","2020-12-31","1997-12-31","通化金马",338,57916518.7,5.21,7586889.45
"3244","000766","2023-12-31","1997-12-31","通化金马",331,57885662.87,3.93,12065247.06
"3247","000766","2021-12-31","1997-12-31","通化金马",327,76137717.71,5.02,12622225.45
"3250","000766","2019-12-31","1997-12-31","通化金马",328,87805670.72,4.44,20893789.6
"3256","000766","2017-12-31","1997-12-31","通化金马",283,60392074.85,3.97,0
"3265","000766","2018-12-31","1997-12-31","通化金马",309,74317857.37,3.55,7015038.99
"3271","000766","2022-12-31","1997-12-31","通化金马",318,72665950.78,4.94,7757267.68
"3274","000766","2016-12-31","1997-12-31","通化金马",267,42158588.17,4.96,0
"3392","000788","2019-12-31","2005-12-31","西南合成",114,30873987.08,1.23,14792714.24
"3396","000788","2016-12-31","2005-12-31","西南合成",91,5166150.49,0.25,0
"3400","000788","2023-12-31","2005-12-31","西南合成",104,35764543.32,1.63,7965752.87
"3404","000788","2021-12-31","2005-12-31","西南合成",104,42677839.7,1.91,28596961.61
"3408","000788","2020-12-31","2005-12-31","西南合成",115,27712465.48,1.4,19007370.91
"3416","000788","2018-12-31","2005-12-31","西南合成",96,18145463.3,0.78,12158267.63
"3424","000788","2022-12-31","2005-12-31","西南合成",102,28248468.31,1.36,13511986.32
"3444","000788","2017-12-31","2005-12-31","西南合成",98,13275156.42,0.62,5684311.38
"3454","000790","2020-12-31","1998-12-31","华神集团",161,26870894.51,3.54,0
"3460","000790","2021-12-31","1998-12-31","华神集团",137,18752312.6,1.98,0
