"","StockCode","ShortName","IndustryCode","IndustryName","EndDate"
"154","300534","陇神戎发","C27","医药制造业","2016-12-31"
"155","300558","贝达药业","C27","医药制造业","2016-12-31"
"156","300573","兴齐眼药","C27","医药制造业","2016-12-31"
"157","300583","赛托生物","C27","医药制造业","2017-12-31"
"158","300584","海辰药业","C27","医药制造业","2017-12-31"
"159","300601","康泰生物","C27","医药制造业","2017-12-31"
"160","300630","普利制药","C27","医药制造业","2017-12-31"
"161","300636","同和药业","C27","医药制造业","2017-12-31"
"162","300639","凯普生物","C27","医药制造业","2017-12-31"
"163","300642","透景生命","C27","医药制造业","2017-12-31"
"164","300683","海特生物","C27","医药制造业","2017-12-31"
"165","300685","艾德生物","C27","医药制造业","2017-12-31"
"166","300702","天宇股份","C27","医药制造业","2017-12-31"
"167","300705","九典制药","C27","医药制造业","2017-12-31"
"168","300723","一品红","C27","医药制造业","2017-12-31"
"169","300832","新产业","C27","医药制造业","2020-12-31"
"170","300841","康华生物","C27","医药制造业","2020-12-31"
"171","300871","回盛生物","C27","医药制造业","2020-12-31"
"172","300878","维康药业","C27","医药制造业","2020-12-31"
"173","300942","易瑞生物","C27","医药制造业","2021-12-31"
"174","300966","共同药业","C27","医药制造业","2021-12-31"
"175","301075","多瑞医药","C27","医药制造业","2021-12-31"
"176","301089","拓新药业","C27","医药制造业","2021-12-31"
"177","301093","华兰股份","C27","医药制造业","2021-12-31"
"178","301111","粤万年青","C27","医药制造业","2021-12-31"
"179","301130","西点药业","C27","医药制造业","2022-12-31"
"180","301201","诚达药业","C27","医药制造业","2022-12-31"
"181","301207","华兰疫苗","C27","医药制造业","2022-12-31"
"182","301211","亨迪药业","C27","医药制造业","2021-12-31"
"183","301246","宏源药业","C27","医药制造业","2023-12-31"
"184","301258","富士莱","C27","医药制造业","2022-12-31"
"185","301277","新天地","C27","医药制造业","2022-12-31"
"186","301281","科源制药","C27","医药制造业","2023-12-31"
"187","301301","川宁生物","C27","医药制造业","2022-12-31"
"188","301331","恩威医药","C27","医药制造业","2022-12-31"
"189","301507","民生健康","C27","医药制造业","2023-12-31"
"190","301509","金凯生科","C27","医药制造业","2023-12-31"
"191","430017","星昊医药","C27","医药制造业","2023-12-31"
"192","430047","诺思兰德","C27","医药制造业","2020-12-31"
"193","430478","峆一药业","C27","医药制造业","2023-12-31"
"194","600056","中国医药","C27","医药制造业","2013-12-31"
"195","600062","双鹤药业","C27","医药制造业","1997-12-31"
"196","600079","人福科技","C27","医药制造业","2009-12-31"
"197","600080","金花股份","C27","医药制造业","1997-12-31"
"198","600085","同仁堂","C27","医药制造业","1997-12-31"
"199","600129","太极集团","C27","医药制造业","1997-12-31"
"200","600161","天坛生物","C27","医药制造业","1998-12-31"
"201","600195","中牧股份","C27","医药制造业","2009-12-31"
"202","600196","复星实业","C27","医药制造业","1998-12-31"
"203","600200","江苏吴中","C27","医药制造业","1999-12-31"
"204","600201","金宇集团","C27","医药制造业","1999-12-31"
"205","600211","西藏药业","C27","医药制造业","1999-12-31"
"206","600216","浙江医药","C27","医药制造业","1999-12-31"
"207","600222","众生制药","C27","医药制造业","1999-12-31"
"208","600226","升华拜克","C27","医药制造业","2009-12-31"
"209","600227","赤天化","C27","医药制造业","2017-12-31"
"210","600252","中恒集团","C27","医药制造业","2009-12-31"
"211","600253","天方药业","C27","医药制造业","2000-12-31"
"212","600267","海正药业","C27","医药制造业","2000-12-31"
"213","600276","恒瑞医药","C27","医药制造业","2000-12-31"
"214","600285","羚锐股份","C27","医药制造业","2000-12-31"
"215","600297","美罗药业","C27","医药制造业","2000-12-31"
"216","600299","安迪苏","C27","医药制造业","2016-12-31"
"217","600329","中新药业","C27","医药制造业","2001-12-31"
"218","600332","广州药业","C27","医药制造业","2001-12-31"
"219","600351","亚宝药业","C27","医药制造业","2002-12-31"
"220","600380","太太药业","C27","医药制造业","2001-12-31"
"221","600385","山东金泰","C27","医药制造业","2001-12-31"
"222","600420","现代制药","C27","医药制造业","2004-12-31"
"223","600421","春天股份","C27","医药制造业","2004-12-31"
"224","600422","昆明制药","C27","医药制造业","2000-12-31"
"225","600436","片仔癀","C27","医药制造业","2003-12-31"
"226","600466","迪康药业","C27","医药制造业","2001-12-31"
"227","600479","千金药业","C27","医药制造业","2004-12-31"
"228","600488","天药股份","C27","医药制造业","2001-12-31"
"229","600513","联环药业","C27","医药制造业","2003-12-31"
"230","600518","康美药业","C27","医药制造业","2001-12-31"
"231","600521","华海药业","C27","医药制造业","2003-12-31"
"232","600530","交大昂立","C27","医药制造业","2001-12-31"
"233","600535","天士力","C27","医药制造业","2002-12-31"
"234","600538","北海国发","C27","医药制造业","2003-12-31"
"235","600556","北生药业","C27","医药制造业","2001-12-31"
"236","600557","康缘药业","C27","医药制造业","2002-12-31"
"237","600566","洪城股份","C27","医药制造业","2014-12-31"
"238","600568","潜江制药","C27","医药制造业","2001-12-31"
"239","600572","康恩贝","C27","医药制造业","2004-12-31"
