"Firm_ID","Firm","Year"
387,"扬子江药业集团南京海陵药业有限公司",2021
618,"石家庄四药有限公司",2021
636,"花园药业股份有限公司",2021
495,"浙江北生药业汉生制药有限公司",2021
287,"安徽恒星制药有限公司",2021
NA,"浙江花园药业有限公司",2021
287,"安徽恒星制药有限公司",2022
624,"福安药业集团宁波天衡制药有限公司",2022
NA,"福安药业集团烟台只楚药业有限公司",2022
NA,"河北凯威制药有限责任公司;广州市联瑞制药有限公司",2022
NA,"黑龙江福和制药集团股份有限公司",2022
NA,"浙江花园药业有限公司",2022
616,"瑞阳制药股份有限公司",2022
NA,"山西国润制药有限公司",2022
618,"石家庄四药有限公司",2022
622,"石药集团欧意药业有限公司",2022
242,"四川美大康华康药业有限公司",2022
387,"扬子江药业集团南京海陵药业有限公司",2022
122,"云南龙海天然植物药业有限公司",2022
495,"浙江北生药业汉生制药有限公司",2022
NA,"扬子江药业集团江苏紫龙药业有限公司",2022
NA,"河北凯威制药有限责任公司",2023
495,"浙江北生药业汉生制药有限公司",2023
NA,"扬子江药业集团江苏紫龙药业有限公司",2023
287,"安徽恒星制药有限公司",2023
624,"福安药业集团宁波天衡制药有限公司",2023
NA,"福安药业集团烟台只楚药业有限公司",2023
NA,"黑龙江福和制药集团股份有限公司",2023
NA,"浙江花园药业有限公司",2023
616,"瑞阳制药股份有限公司",2023
NA,"山西国润制药有限公司",2023
618,"石家庄四药有限公司",2023
622,"石药集团欧意药业有限公司",2023
242,"四川美大康华康药业有限公司",2023
122,"云南龙海天然植物药业有限公司",2023
438,"江苏奥赛康药业股份有限公司",2015
665,"辰欣药业股份有限公司",2015
NA,"北京东方协和医药生物技术有限公司",2016
NA,"北京协和药厂有限公司",2016
665,"辰欣药业股份有限公司",2016
436,"江苏奥赛康药业有限公司",2016
565,"深圳万乐药业有限公司",2016
390,"扬子江药业集团有限公司",2016
NA,"浙江三生蔓迪药业有限公司",2016
78,"上海创诺制药有限公司",2016
NA,"Sanofi-Aventis Deutschland GmbH",2016
NA,"Sanofi-Aventis Deutschland GmbH",2017
665,"辰欣药业股份有限公司",2017
436,"江苏奥赛康药业有限公司",2017
565,"深圳万乐药业有限公司",2017
241,"四川美大康佳乐药业有限公司",2017
78,"上海创诺制药有限公司",2017
390,"扬子江药业集团有限公司",2017
241,"四川美大康佳乐药业有限公司",2018
NA,"广东星昊药业有限公司",2018
665,"辰欣药业股份有限公司",2018
565,"深圳万乐药业有限公司",2018
150,"北京双鹭药业股份有限公司",2018
78,"上海创诺制药有限公司",2018
436,"江苏奥赛康药业有限公司",2018
390,"扬子江药业集团有限公司",2018
NA,"Sanofi-Aventis Deutschland GmbH",2018
NA,"哈尔滨莱博通药业有限公司",2018
230,"四川汇宇制药股份有限公司",2019
390,"扬子江药业集团有限公司",2019
NA,"北京东方协和医药生物技术有限公司",2019
665,"辰欣药业股份有限公司",2019
78,"上海创诺制药有限公司",2019
241,"四川美大康佳乐药业有限公司",2019
150,"北京双鹭药业股份有限公司",2019
NA,"广东星昊药业有限公司",2019
565,"深圳万乐药业有限公司",2019
436,"江苏奥赛康药业有限公司",2019
230,"四川汇宇制药股份有限公司",2021
413,"正大天晴药业集团股份有限公司",2021
436,"江苏奥赛康药业有限公司",2021
180,"南京亿华药业有限公司",2015
390,"扬子江药业集团有限公司",2015
637,"苏州东瑞制药有限公司",2015
425,"汕头金石制药总厂",2015
613,"珠海联邦制药股份有限公司中山分公司",2016
180,"南京亿华药业有限公司",2016
247,"国药集团汕头金石制药有限公司",2016
637,"苏州东瑞制药有限公司",2016
596,"湖南方盛制药股份有限公司",2016
247,"国药集团汕头金石制药有限公司",2017
596,"湖南方盛制药股份有限公司",2017
180,"南京亿华药业有限公司",2017
637,"苏州东瑞制药有限公司",2017
613,"珠海联邦制药股份有限公司中山分公司",2017
310,"山东罗欣药业集团股份有限公司",2017
596,"湖南方盛制药股份有限公司",2018
247,"国药集团汕头金石制药有限公司",2018
180,"南京亿华药业有限公司",2018
637,"苏州东瑞制药有限公司",2018
310,"山东罗欣药业集团股份有限公司",2018
596,"湖南方盛制药股份有限公司",2019
180,"南京亿华药业有限公司",2021
572,"深圳立健药业有限公司",2015
560,"海口市制药厂有限公司",2015
638,"苏州中化药品工业有限公司",2015
345,"广州南新制药有限公司",2016
170,"华北制药河北华民药业有限责任公司",2016
560,"海口市制药厂有限公司",2016
NA,"上海海虹实业(集团)巢湖今辰药业有限公司",2016
103,"上海美优制药有限公司",2016
NA,"白云山东泰商丘药业有限公司",2016
NA,"回音必集团浙江齐齐制药有限公司",2016
NA,"吉林道君药业股份有限公司",2016
401,"昆明贝克诺顿制药有限公司",2016
623,"礼来苏州制药有限公司",2016
NA,"辽宁华瑞联合制药有限公司",2016
313,"山东鲁抗医药股份有限公司",2016
NA,"山东淄博新达制药有限公司",2016
170,"华北制药河北华民药业有限责任公司",2017
104,"上海衡山药业有限公司",2017
103,"上海美优制药有限公司",2017
523,"浙江贝得药业有限公司",2017
492,"浙江亚太药业股份有限公司",2017
623,"礼来苏州制药有限公司",2017
560,"海口市制药厂有限公司",2017
NA,"四川制药制剂有限公司",2017
623,"礼来苏州制药有限公司",2018
523,"浙江贝得药业有限公司",2018
572,"深圳立健药业有限公司",2018
638,"苏州中化药品工业有限公司",2018
560,"海口市制药厂有限公司",2018
103,"上海美优制药有限公司",2018
345,"广州南新制药有限公司",2018
638,"苏州中化药品工业有限公司",2019
NA,"亿腾医药(苏州)有限公司",2019
492,"浙江亚太药业股份有限公司",2019
345,"广州南新制药有限公司",2020
638,"苏州中化药品工业有限公司",2020
572,"深圳立健药业有限公司",2020
170,"华北制药河北华民药业有限责任公司",2015
574,"深圳致君制药有限公司",2015
366,"成都倍特药业有限公司",2015
367,"成都倍特药业股份有限公司",2016
